policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,lognormal,60.0,0,6000001,27,5.211004327558727e-05,0,0,27,-0.45351897398376145,-1919.2922978992785,4232,112,511,0.024149338374291115,11,158.37222222222223,0.06945662468867295,20.076773942002472,0.8559322033898306,47,236,3.503955493984045,884,316,5.581786929526081,1.995299400147332,56.13291139240506,44.357894736842105,1040
policy,lognormal,60.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.5302391227759594,-1817.1294737532128,3427,98,458,0.026728917420484388,11,118.68194444444444,0.09268469649272683,15.03784454200852,0.8794642857142857,49,224,2.7241865841911475,1000,488,8.425881499338802,4.111830171677336,60.456043956043956,38.31460674157304,1302
policy,lognormal,60.0,2,6015839,22,9.089051767727325e-05,0,0,22,-0.8186124316883447,-2359.2410281258094,2882,158,745,0.051700208188757805,15,87.8013888888889,0.17084012211905025,15.246744073121507,0.8449197860962567,48,187,3.9013628005539815,973,472,11.08182925478906,5.375769176012781,59.94915254237288,29.306122448979593,1260
policy,lognormal,60.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.12843935867496198,-419.0976273564009,3263,0,0,0.0,0,72.3125,0.0,13.179513897603982,0.8811188811188811,28,143,2.921990531738758,507,264,7.01123595505618,3.6508210890233364,61.1875,61.094339622641506,672
policy,lognormal,60.0,4,6031677,30,9.161027245685475e-05,0,0,30,-1.1490235308112333,-4257.132181655619,3705,317,1479,0.07983805668016195,33,153.96805555555557,0.21433017310589317,25.300418072346904,0.8122866894197952,81,293,4.824080569267554,1461,550,9.488981300233634,3.572169551764886,56.358156028368796,24.202614379084967,1721
policy,lognormal,60.0,5,6039596,30,6.367204922456714e-05,0,0,30,-0.9637741043993445,-3784.740907976226,3927,281,1341,0.06829640947288006,20,163.2625,0.12250210550493837,17.475003799057493,0.8697318007662835,59,261,3.438380916289479,1172,444,7.178623382589389,2.7195467422096318,59.69035532994924,34.892857142857146,1417
policy,lognormal,60.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.19779160826845651,-608.0114038172353,3074,12,58,0.0037735849056603774,1,76.64722222222223,0.013046787228644946,12.749635948774326,0.9178082191780822,25,146,2.4699462625896027,500,215,6.5233936143224724,2.8050592541586634,61.08139534883721,57.588235294117645,626
policy,lognormal,60.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.14114211761009637,-395.7624977787102,2804,6,24,0.0017118402282453639,1,58.2375,0.017171066752522002,12.474505630006764,0.9224806201550387,23,129,2.2485059526337317,409,189,7.022966301781499,3.2453316162266583,58.729729729729726,58.395833333333336,524
policy,lognormal,60.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.49517981867455396,-2028.7517171096476,4097,108,505,0.024652184525262386,12,153.3138888888889,0.07827079520953743,23.02741675521967,0.8240343347639485,60,233,3.9009516320786544,1092,540,7.122642364067906,3.5221857844291846,60.54545454545455,33.8,1427
policy,lognormal,60.0,9,6071272,25,6.935106141067473e-05,0,0,25,-0.35176421181877604,-1328.6134280395172,3777,53,247,0.013079163357161768,6,130.82083333333333,0.045864254546612734,16.690778285554163,0.8675213675213675,50,234,3.0747934956891396,906,458,6.925502436538523,3.5009714303914388,56.545945945945945,35.43396226415094,1172
policy,lognormal,60.0,10,6079191,20,9.686706663473617e-05,0,0,20,-0.7343843463859295,-1877.820773708822,2557,133,638,0.04990222917481424,7,70.79722222222222,0.09887393573194178,9.589120838833848,0.9337349397590361,25,166,2.5886750518602395,644,269,9.096402087338644,3.7995841016989056,58.596330275229356,50.06,802
