policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,lognormal,30.0,0,6000001,27,5.211004327558727e-05,0,0,27,-0.253462813001736,-1072.6546246233468,4232,54,238,0.011247637051039698,6,158.38194444444446,0.03788310606392774,8.857083946659754,0.9694323144104804,48,229,1.550924045128983,786,301,4.962686894374534,1.9004691542070415,28.416666666666668,43.55670103092783,871
policy,lognormal,30.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.3344788281341142,-1146.2589440156094,3427,70,327,0.019083746717245404,7,118.68055555555556,0.05898186073727326,12.496279586303636,0.9511111111111111,45,225,1.1979253506361105,678,242,5.712814511410182,2.0390871854885897,30.722543352601157,38.31707317073171,745
policy,lognormal,30.0,2,6015839,22,9.089051767727325e-05,0,0,22,-0.3171135458040864,-913.921239007377,2882,46,214,0.014850798056904927,6,87.79305555555555,0.06834253531821993,7.2521482845957355,0.9637305699481865,42,193,2.0116372171664567,640,288,7.2898704339434595,3.2804416952745568,30.173410404624278,37.89473684210526,753
policy,lognormal,30.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.11438386864680654,-373.23456339452974,3263,5,19,0.001164572479313515,1,72.30555555555556,0.013830195927775643,10.709280794778884,0.9594594594594594,33,148,1.6953379388510783,500,198,6.915097963887821,2.738378793699577,30.551470588235293,43.89041095890411,559
policy,lognormal,30.0,4,6031677,30,9.161027245685475e-05,0,0,30,-0.4051987798206944,-1501.2614792356728,3705,75,346,0.018677462887989205,9,153.9875,0.058446302459615226,15.928840169217704,0.910394265232975,76,279,2.9451552454862777,976,498,6.338176800064939,3.234028736098709,28.343537414965986,23.84516129032258,1178
policy,lognormal,30.0,5,6039596,30,6.367204922456714e-05,0,0,30,-0.48404878048808775,-1900.8595609767206,3927,134,621,0.031627196333078686,14,163.26111111111112,0.0857522033552251,8.976651606783292,0.9732824427480916,50,262,1.7634155866077452,791,288,4.844999489570218,1.7640453261646305,30.07,38.10679611650485,878
policy,lognormal,30.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.2186278699753322,-672.0620723041712,3074,42,206,0.013402732595966168,2,76.63472222222222,0.026097830617829894,3.1415145554600747,1.0,25,155,0.774076192404619,400,128,5.219566123565978,1.6702611595411132,30.683168316831683,72.71428571428571,427
policy,lognormal,30.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.06383290552728853,-178.98746709851702,2804,0,0,0.0,0,58.24861111111111,0.0,3.631318713079167,0.9752066115702479,23,121,0.8130885578789445,276,144,4.738310403204655,2.4721619494980804,29.539473684210527,63.20454545454545,343
policy,lognormal,30.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.2380941825413228,-975.4718658717995,4097,40,190,0.009275079326336344,3,153.31944444444446,0.019566989763565537,7.748370920571071,0.9868995633187773,48,229,1.4606879489469229,908,363,5.9222755684391695,2.36760576139143,30.323275862068964,40.87,1038
policy,lognormal,30.0,9,6071272,25,6.935106141067473e-05,0,0,25,-0.2459965294543817,-929.1288917491996,3777,48,227,0.012020121789780248,5,130.84166666666667,0.03821412648875868,11.94357866039527,0.954337899543379,53,219,1.309513373054837,605,328,4.6239093051398,2.5068466976625694,28.55135135135135,37.59,746
policy,lognormal,30.0,10,6079191,20,9.686706663473617e-05,0,0,20,-0.3907906050535319,-999.251577121881,2557,60,281,0.021978881501759875,6,70.79305555555555,0.08475407584705029,6.676900670816884,0.9822485207100592,32,169,1.810263140578286,551,195,7.783249298620785,2.754507465029134,30.40277777777778,39.515625,600
policy,lognormal,30.0,11,6087110,16,7.090545193863755e-05,0,0,16,-0.10120065116593371,-291.1542734043913,2877,8,34,0.0023635731664928745,1,63.74861111111111,0.01568661626614959,3.8226593593294487,0.9924812030075187,23,133,0.693339284058992,361,137,5.662868472080002,2.149066428462494,31.647727272727273,70.6,409
policy,lognormal,30.0,12,6095029,25,5.4635751566909166e-05,0,0,25,-0.12896712196972973,-574.6774954971157,4456,19,81,0.0036355475763016156,3,154.3986111111111,0.019430226596022202,7.910444377377433,0.9484978540772532,46,233,0.7093932298801426,620,281,4.015580163177922,1.8199645578274128,30.377245508982035,53.06172839506173,732
policy,lognormal,30.0,13,6102948,29,8.97996014105024e-05,0,0,29,-0.3489029808427932,-1282.5673575781077,3676,69,326,0.017736670293797607,8,147.6875,0.054168429961912824,9.831133043795862,0.929368029739777,64,269,1.8030138974193513,851,436,5.762166737198476,2.952179432924249,29.422310756972113,30.09090909090909,1033
policy,lognormal,30.0,14,6110867,24,7.225792033344514e-05,0,0,24,-0.18635309442811335,-607.5110878356495,3260,26,125,0.007668711656441718,1,108.40277777777777,0.009224855861627163,7.359637474859224,0.968421052631579,40,190,1.1319647739710452,533,244,4.916848174247278,2.2508648302370275,28.944055944055943,42.81333333333333,632
policy,lognormal,30.0,15,6118786,30,6.576649339802706e-05,0,0,30,-0.3017075608645975,-1118.4299281250628,3707,53,242,0.013056379821958458,6,154.12777777777777,0.03892873878095376,13.504134894048466,0.9117647058823529,58,238,2.1896078491213564,806,427,5.229427242908121,2.7704285765778756,29.46288209606987,30.675,1000
policy,lognormal,30.0,16,6126705,27,6.178195181592862e-05,0,0,27,-0.26093313266047247,-1082.3506342756398,4148,57,269,0.012970106075216972,4,155.20555555555555,0.025772273329276587,7.9954352047803185,0.9596774193548387,55,248,1.0834125181407845,767,291,4.941833410888786,1.8749328847048718,30.433962264150942,43.65263157894737,844
policy,lognormal,30.0,17,6134624,16,7.673893783871535e-05,0,0,16,-0.24650023604219748,-674.1781455754101,2735,44,197,0.014405850091407678,6,60.57361111111111,0.09905303464563318,5.794128337689603,0.9659863945578231,26,147,1.208196747224651,327,155,5.398390388187008,2.5588700616788573,30.28723404255319,47.94642857142857,388
policy,lognormal,30.0,18,6142543,22,7.226780431245577e-05,0,0,22,-0.23935046135207705,-786.2662655415731,3285,40,180,0.010958904109589041,5,100.10972222222222,0.04994519901774442,10.71274720415286,0.9685863874345549,34,191,1.798253435943748,525,234,5.2442458968631644,2.337435314030439,30.220689655172414,46.028169014084504,613
policy,lognormal,30.0,19,6150462,19,5.888784401448484e-05,0,0,19,-0.228496771608985,-815.2764811008584,3568,53,242,0.013565022421524664,6,93.9263888888889,0.06387981131796472,5.43264281978735,0.9818181818181818,23,165,0.9808234961208858,415,159,4.4183536161592265,1.6928149999260649,30.401869158878505,66.26415094339623,464
policy,lognormal,30.0,20,6158381,26,4.847822575301942e-05,0,0,26,-0.19321111162049248,-821.147224387093,4250,44,199,0.009364705882352942,6,153.1625,0.03917407981718763,6.216511892208475,0.9775784753363229,35,223,0.9476393802107393,528,219,3.4473190239125113,1.4298539133273485,31.59124087591241,49.372093023255815,610
policy,lognormal,30.0,21,6166300,17,5.701430381926289e-05,0,0,17,-0.4792477792782981,-1487.5851068798372,3104,119,587,0.037822164948453606,2,73.09722222222223,0.027360820824624738,5.6170351886924275,0.9927536231884058,24,138,1.2506793192085301,376,161,5.1438343150294505,2.2025460763822915,28.81132075471698,67.23913043478261,431
