policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,none,0.0,0,6000001,27,5.211004327558727e-05,0,0,27,-0.7595321659006993,-3214.3401260917594,4232,261,1189,0.05619092627599244,29,158.37777777777777,0.18310649642205698,10.727413566357463,0.9439655172413793,47,232,2.06097519211067,926,599,5.84677985126982,3.782096253683177,0.0,47.82954545454545,0
policy,none,0.0,1,6007920,25,8.539162499599113e-05,0,0,25,-1.1750675159494441,-4026.956377158745,3427,345,1637,0.09553545374963525,33,118.68611111111112,0.27804432794251877,8.533398580238153,0.9592760180995475,45,221,1.4592004173318476,1125,603,9.478783907131321,5.080628174222388,0.0,47.563380281690144,0
policy,none,0.0,2,6015839,22,9.089051767727325e-05,0,0,22,-1.0519713925243694,-3031.7815532552327,2882,261,1241,0.08612074947952811,28,87.80555555555556,0.31888642834546027,8.24586726283231,0.9293478260869565,33,184,3.31188948571097,629,369,7.163555836760518,4.202467573552673,0.0,38.9054054054054,0
policy,none,0.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.6656851338857077,-2172.130591869064,3263,136,630,0.03861477168250076,12,72.29583333333333,0.1659846694715002,8.12579162226383,0.9290322580645162,29,155,2.785755950472913,543,449,7.510806293585384,6.210593049391965,0.0,69.6046511627907,0
policy,none,0.0,4,6031677,30,9.161027245685475e-05,0,0,30,-1.418989653970782,-5257.356667961747,3705,448,2103,0.11352226720647773,44,153.98194444444445,0.28574778788999433,13.94897726222324,0.9045936395759717,67,283,3.2996062661850214,1215,739,7.890535506507797,4.7992639829705865,0.0,32.052173913043475,0
policy,none,0.0,5,6039596,30,6.367204922456714e-05,0,0,30,-1.2971328948909358,-5093.840878236705,3927,451,2119,0.10791953144894322,44,163.28333333333333,0.26947024599367153,8.464629031709494,0.9552845528455285,51,246,1.9852272388531171,1003,593,6.142696743901194,3.6317239971419824,0.0,45.06896551724138,0
policy,none,0.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.35380238811824166,-1087.588541075475,3074,88,388,0.025243981782693558,11,76.64583333333333,0.143517260125034,2.150681089800707,0.9863945578231292,17,147,0.4251604875822534,523,215,6.82359336776298,2.805110084262028,0.0,106.44444444444444,0
policy,none,0.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.2881462564921869,-807.962103204092,2804,62,286,0.020399429386590586,6,58.24444444444445,0.10301411674933231,4.191643853861258,0.9838709677419355,22,124,0.8950039233047776,246,203,4.223578786722625,3.4853109500190764,0.0,68.09756097560975,0
policy,none,0.0,8,6063353,27,5.582844963546904e-05,0,0,27,-1.1805154518365273,-4836.571806174253,4097,414,1948,0.09509397119843788,35,153.31527777777777,0.22828775127505957,7.192242584311578,0.9568965517241379,47,232,1.6228564934603833,884,723,5.765896346490076,4.715772690624802,0.0,46.19767441860465,0
policy,none,0.0,9,6071272,25,6.935106141067473e-05,0,0,25,-0.6756151006740817,-2551.7982352460067,3777,196,913,0.04834524755096638,20,130.82638888888889,0.15287435638834335,11.817464760544675,0.9434782608695652,44,230,2.466057093940699,993,450,7.590211794681246,3.439673018737725,0.0,47.12658227848101,0
