policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,lognormal,60.0,0,6000001,27,5.211004327558727e-05,0,0,27,-0.8965179004601839,-3794.063754747498,4232,282,1369,0.06469754253308128,15,158.36666666666667,0.09471690170490422,12.779435068267308,0.9541666666666667,43,240,2.5973368382965307,1447,396,9.137023784466427,2.5005262050094714,56.81720430107527,46.266666666666666,1654
policy,lognormal,60.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.6493447057107523,-2225.304306470748,3427,144,664,0.038751094251531955,12,118.68333333333334,0.10110939474792865,12.368674240039965,0.9103139013452914,52,223,2.1916346540498117,1138,505,9.588540935261902,4.255020362308664,60.964071856287426,35.3125,1472
policy,lognormal,60.0,2,6015839,22,9.089051767727325e-05,0,0,22,-0.7852000404290539,-2262.9465165165334,2882,142,662,0.04594031922276197,15,87.81388888888888,0.17081580362509097,15.154020782902533,0.8932584269662921,45,178,3.437622903223208,1144,445,13.027551956473603,5.067535507544365,60.946308724832214,37.61842105263158,1434
policy,lognormal,60.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.22851543776628733,-745.6458734313956,3263,32,148,0.009071406680968433,3,72.31527777777778,0.04148500969904162,7.970330488915506,0.9716312056737588,27,141,1.460315352355436,665,301,9.195843816620892,4.162329306470509,62.694736842105264,57.836363636363636,870
policy,lognormal,60.0,4,6031677,30,9.161027245685475e-05,0,0,30,-0.9676424616190155,-3585.1153202984524,3705,249,1168,0.06304993252361674,26,153.98611111111111,0.16884639668079732,19.179466698989398,0.8892857142857142,71,280,3.540720388844872,1499,540,9.734644177865968,3.50680977721656,57.63636363636363,24.526666666666667,1812
policy,lognormal,60.0,5,6039596,30,6.367204922456714e-05,1,5,30,-0.5016807690149314,-1970.1003799216357,3927,113,519,0.026432391138273493,14,163.26666666666668,0.08574928542262147,11.19474511888085,0.9496124031007752,54,258,2.026803445124815,1237,475,7.576561861984483,2.9093507554103715,59.75722543352601,38.41,1539
policy,lognormal,60.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.5534858792506142,-1701.415592816388,3074,124,585,0.03806115810019518,7,76.64166666666667,0.09133413069479178,4.416966122651926,0.9933333333333333,20,150,1.0914855775610481,661,208,8.624551484179625,2.7139284549309557,60.848101265822784,87.68571428571428,787
policy,lognormal,60.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.12791156462811115,-358.6640272172237,2804,8,40,0.0028530670470756064,1,58.24722222222222,0.01716820067719014,5.496605381884524,0.9918032786885246,24,122,1.1522821763231492,472,243,8.103390719633746,4.171872764557204,58.21333333333333,57.62222222222222,640
policy,lognormal,60.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.40543484584001477,-1661.0665634065406,4097,91,430,0.020990969001708566,8,153.30555555555554,0.05218336655191158,14.122130665688278,0.9372384937238494,54,239,2.201195916971059,1116,517,7.279579633991665,3.372350063417286,59.6375,41.44897959183673,1472
policy,lognormal,60.0,9,6071272,25,6.935106141067473e-05,1,5,25,-0.8522013029642296,-3218.764321295895,3777,216,1000,0.052952078369075985,26,130.8375,0.1987197859940766,12.889748854920061,0.9504504504504504,47,222,2.2781388189339866,1426,457,10.899015954905893,3.4928823922805003,57.422680412371136,38.69072164948454,1684
policy,lognormal,60.0,10,6079191,20,9.686706663473617e-05,0,0,20,-0.5963349079962679,-1524.828359746457,2557,102,478,0.03738756355103637,10,70.79305555555555,0.14125679307841715,9.16649004754599,0.9349112426035503,29,169,2.5680236052453456,658,278,9.294696984559847,3.9269388475799967,58.989010989010985,39.90625,840
policy,lognormal,60.0,11,6087110,16,7.090545193863755e-05,0,0,16,-0.17236720680350676,-495.90045397368897,2877,10,44,0.0030587417448731317,1,63.75138888888889,0.015685932768349273,8.459785422868874,0.9694656488549618,26,131,1.544165542061768,555,365,8.705692686433846,5.725365460447485,62.36904761904762,58.285714285714285,833
policy,lognormal,60.0,12,6095029,25,5.4635751566909166e-05,0,0,25,-0.5608650941314964,-2499.214859449948,4456,173,826,0.037073608617594254,14,154.40416666666667,0.09067112826186685,11.663044643168917,0.9344978165938864,45,229,1.1990499091832505,1197,335,7.752381466389616,2.1696305691232425,60.43571428571428,52.69047619047619,1389
policy,lognormal,60.0,13,6102948,29,8.97996014105024e-05,0,0,29,-0.5753484117676412,-2114.980761657849,3676,113,520,0.028291621327529923,11,147.66805555555555,0.07449139868887614,12.76244680385433,0.9328621908127208,60,283,2.457445438108456,1464,482,9.91412797095588,3.2640776516398455,59.396907216494846,32.50892857142857,1747
policy,lognormal,60.0,14,6110867,24,7.225792033344514e-05,0,0,24,-0.4144087014202011,-1350.9723666298555,3260,74,365,0.022392638036809815,3,108.39583333333333,0.027676340572746493,11.80002493676512,0.9333333333333333,43,195,2.123971839599398,900,447,8.302902171823948,4.123774745339228,58.357142857142854,32.58585858585859,1203
policy,lognormal,60.0,15,6118786,30,6.576649339802706e-05,0,0,30,-0.6684973693848519,-2478.119748309646,3707,151,687,0.037065012139196114,21,154.1375,0.13624199172816479,12.652243721460636,0.948051948051948,53,231,2.417743824677801,1403,505,9.102262590219771,3.2762955153677726,59.54314720812183,36.14705882352941,1709
policy,lognormal,60.0,16,6126705,27,6.178195181592862e-05,0,0,27,-0.2799990071209608,-1161.4358815377454,4148,39,171,0.00824493731918997,5,155.20277777777778,0.032215918243158594,8.99437320467602,0.968,51,250,1.4011632195000967,1229,498,7.918672704168381,3.2087054570185956,59.46470588235294,43.96774193548387,1553
policy,lognormal,60.0,17,6134624,16,7.673893783871535e-05,0,0,16,-0.5299693118743073,-1449.4660679762305,2735,90,426,0.031151736745886654,7,60.584722222222226,0.1155406799477316,8.312538894290935,0.9640287769784173,27,139,2.009287530858738,707,277,11.669608674720891,4.57210976364595,60.880434782608695,54.816326530612244,889
policy,lognormal,60.0,18,6142543,22,7.226780431245577e-05,0,0,22,-0.6204723976776128,-2038.251826370958,3285,143,681,0.04146118721461187,13,100.11805555555556,0.12984670874661858,8.425158848434828,0.9621621621621622,33,185,1.5731273172238245,960,285,9.588680030519525,2.846639384060484,61.15,45.05555555555556,1121
policy,lognormal,60.0,19,6150462,19,5.888784401448484e-05,0,0,19,-0.2862623236935869,-1021.383970938718,3568,48,214,0.011995515695067264,5,93.91944444444445,0.053237112182425834,7.714314932171993,0.9764705882352941,28,170,1.3811658767709263,902,279,9.60397503770962,2.9706308597793614,61.29824561403509,62.175438596491226,1064
policy,lognormal,60.0,20,6158381,26,4.847822575301942e-05,0,0,26,-0.4950205952843491,-2103.8375299584836,4250,133,624,0.029364705882352942,12,153.15972222222223,0.07834958059396961,10.80555212560218,0.9511111111111111,42,225,1.7736203328461715,1108,360,7.234277941509862,2.3504874178190884,61.74820143884892,46.395604395604394,1323
policy,lognormal,60.0,21,6166300,17,5.701430381926289e-05,0,0,17,-0.27905477002108203,-866.1860061454387,3104,61,279,0.01797680412371134,5,73.09444444444445,0.06840465151630311,2.8664158211612762,1.0,19,140,0.5405530343705721,412,177,5.636543284943376,2.42152466367713,56.46031746031746,91.0,525
policy,lognormal,60.0,22,6174219,27,4.4774238873528314e-05,0,0,27,-0.19140477808866854,-812.8960925425753,4247,20,97,0.00456793030374382,3,158.94583333333333,0.018874354470862716,7.972184380868592,0.9649122807017544,43,228,1.032408197658438,986,443,6.203371169423546,2.787113010197394,62.843283582089555,53.55696202531646,1292
