policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,lognormal,15.0,0,6000001,27,5.211004327558727e-05,0,0,27,-0.16360422753020024,-692.3730909078074,4232,9,40,0.001890359168241966,1,158.36527777777778,0.006314515492488358,13.324559731030055,0.9087136929460581,44,241,2.5596164348891337,391,261,2.4689755575629477,1.6480885435394614,14.247349823321555,40.81553398058252,367
policy,lognormal,15.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.4607023528065881,-1578.8269630681775,3427,68,298,0.017391304347826087,10,118.68055555555556,0.08425980105324751,17.620641218609734,0.8888888888888888,43,225,5.314940139703714,540,181,4.550029256875366,1.52510239906378,14.928571428571429,34.24,440
policy,lognormal,15.0,2,6015839,22,9.089051767727325e-05,0,0,22,-0.25336910828182335,-730.2097700682149,2882,32,152,0.01054823039555864,3,87.80277777777778,0.0341674839444462,13.00223895751824,0.8924731182795699,35,186,2.9421171054118633,453,277,5.159290075611376,3.154797684203866,15.297101449275363,39.38356164383562,452
policy,lognormal,15.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.17329830065176166,-565.4723550266983,3263,21,99,0.006068035550107263,1,72.30555555555556,0.013830195927775643,13.006701867847346,0.9054054054054054,34,148,3.0115145626274087,317,128,4.384172109104879,1.7702650787552823,14.953488372093023,44.7887323943662,225
policy,lognormal,15.0,4,6031677,30,9.161027245685475e-05,0,0,30,-0.2832320011778629,-1049.374564363982,3705,37,167,0.009014844804318488,7,153.975,0.04546192563727878,22.23711274819428,0.84375,79,288,4.2339342374093185,790,340,5.130703036207176,2.2081506738106835,14.365853658536585,22.923566878980893,679
policy,lognormal,15.0,5,6039596,30,6.367204922456714e-05,0,0,30,-0.23065800812292697,-905.7939978987342,3927,23,98,0.004991087344028521,4,163.2722222222222,0.02449896219674028,18.310828768782688,0.8858267716535433,56,254,3.546960025412891,525,243,3.2154887883221615,1.488311953451972,14.972477064220184,32.80672268907563,440
policy,lognormal,15.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.14753884717765334,-453.53441622410634,3074,11,43,0.0027976577748861416,2,76.64583333333333,0.026094047295460724,6.404399354905592,0.9659863945578231,18,147,1.7639314661944467,233,124,3.0399565099211743,1.617830932318565,15.093333333333334,92.3030303030303,207
policy,lognormal,15.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.12111764497645053,-339.6138765139673,2804,5,20,0.0014265335235378032,1,58.24166666666667,0.017169838317355846,11.483424039369154,0.9365079365079365,26,126,2.358218003105307,218,111,3.7430247531835743,1.9058520532264989,14.825174825174825,58.59574468085106,182
policy,lognormal,15.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.30572165863049894,-1252.5416354091542,4097,61,288,0.014059067610446669,6,153.30972222222223,0.03913646123044309,19.799586180886884,0.8813559322033898,51,236,3.8665329040443353,468,233,3.052643975974561,1.5197992444488733,15.082733812949641,35.417391304347824,423
policy,lognormal,15.0,9,6071272,25,6.935106141067473e-05,0,0,25,-0.2895671699922428,-1093.695201060701,3777,49,212,0.01122584061424411,7,130.8388888888889,0.053500912912402866,19.96609934970704,0.8552036199095022,54,221,3.5335688821865783,559,209,4.272430045433315,1.5973843998131712,14.48159509202454,32.66086956521739,441
policy,lognormal,15.0,10,6079191,20,9.686706663473617e-05,0,0,20,-0.13417322450144928,-343.0809350502058,2557,8,32,0.0025029331247555728,1,70.79027777777777,0.014126233592968275,6.87080005286308,0.9298245614035088,28,171,2.095625007563855,316,130,4.463889815377975,1.8364103670858758,14.864321608040202,44.875,245
policy,lognormal,15.0,11,6087110,16,7.090545193863755e-05,0,0,16,-0.1422982239482357,-409.39199029907417,2877,17,78,0.005422314911366006,2,63.74722222222222,0.0313739160747745,12.812811191708175,0.8731343283582089,32,134,2.0944445548778385,245,111,3.8433047191598764,1.7412523421499848,14.926829268292684,53.679245283018865,190
policy,lognormal,15.0,12,6095029,25,5.4635751566909166e-05,0,0,25,-0.21836344392456866,-973.0275061278779,4456,39,183,0.008213644524236985,3,154.4,0.019430051813471502,18.097965769492905,0.8922413793103449,52,232,2.074032120222254,648,225,4.196891191709844,1.4572538860103625,15.309659090909092,43.029411764705884,519
policy,lognormal,15.0,13,6102948,29,8.97996014105024e-05,0,0,29,-0.27210195520563885,-1000.2467873359284,3676,42,185,0.010065288356909684,7,147.6861111111111,0.04739782195722911,13.24786102064845,0.9222222222222223,51,270,2.4631588615674556,675,308,4.570504260161378,2.085504166118081,14.818639798488665,35.0,586
