policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,lognormal,120.0,0,6000001,27,5.211004327558727e-05,0,0,27,-1.2286350146203986,-5199.583381873526,4232,331,1552,0.07334593572778828,34,158.39027777777778,0.2146596399540516,21.187511332084814,0.874439461883408,44,223,5.103718578496242,2139,462,13.504616760638717,2.9168456958462308,112.21739130434783,48.593023255813954,2435
policy,lognormal,120.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.7881833442829357,-2701.1043208576207,3427,135,627,0.036591771228479716,16,118.68333333333334,0.13481252633057156,16.669200738108866,0.874439461883408,39,223,3.460455089792604,1757,361,14.804100547675887,3.0417076253335207,114.80672268907563,46.0945945945946,1986
policy,lognormal,120.0,2,6015839,22,9.089051767727325e-05,0,0,22,-1.2034365461062435,-3468.3041258781936,2882,220,1001,0.06946564885496183,26,87.80972222222222,0.2960947756354491,16.54727806459392,0.8232044198895028,41,181,4.881852522335369,1669,398,19.007006943675563,4.532527719342644,122.79508196721312,41.128571428571426,1942
policy,lognormal,120.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.8234009712413356,-2686.757369160478,3263,130,619,0.03794054551026663,8,72.31111111111112,0.11063306699446834,17.021414912010574,0.875,21,144,5.005334495252968,1613,308,22.30639213275968,4.259373079287031,125.39393939393939,66.04166666666667,1816
policy,lognormal,120.0,4,6031677,30,9.161027245685475e-05,0,0,30,-1.5393365677702304,-5703.241983588704,3705,402,1864,0.10062078272604588,43,153.98888888888888,0.2792409264737716,22.23286309273956,0.8165467625899281,63,278,5.087083422498298,2349,518,15.254347355509056,3.3638790677538064,113.9,30.808333333333334,2666
policy,lognormal,120.0,5,6039596,30,6.367204922456714e-05,0,0,30,-1.495089602584491,-5871.216869349297,3927,416,1948,0.09921059332824039,39,163.27777777777777,0.2388567539979585,23.556305812190214,0.828,60,250,5.100315277688849,2318,449,14.196665532494047,2.7499149370534197,116.60989010989012,34.5929203539823,2581
policy,lognormal,120.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.6293712129449458,-1934.6871085927635,3074,62,279,0.018152244632400782,8,76.64305555555555,0.1043799720928547,12.057172334628508,0.9060402684563759,15,149,4.711752531793377,1446,209,18.866679955783486,2.7269267709258287,121.9659090909091,68.27906976744185,1562
policy,lognormal,120.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.4423044894577142,-1240.2217884394306,2804,31,145,0.010342368045649072,3,58.25138888888889,0.051500917956176534,11.314295780534907,0.907563025210084,15,119,4.049092087914691,927,196,15.913783648458548,3.3647266398035334,115.67692307692307,70.77777777777777,1056
policy,lognormal,120.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.7877389635069207,-3227.366533487854,4097,165,769,0.03753966316817183,15,153.30416666666667,0.09784469871986519,18.10561792165803,0.875,43,240,4.075065523155328,1972,412,12.863316391704943,2.687467724838964,116.64383561643835,47.30232558139535,2232
policy,lognormal,120.0,9,6071272,25,6.935106141067473e-05,0,0,25,-1.1652664721432924,-4401.211465285215,3777,277,1309,0.06931427058512046,21,130.85555555555555,0.1604822960006793,24.842231690424388,0.8277511961722488,44,209,4.915453037066625,2033,369,15.536214655684809,2.8199032011547933,114.17567567567568,44.21176470588235,2248
